1785125653468352926 cluster=intermediate_queue_1 done=30 window_fps=4.66
1785125653642188782 cluster=intermediate_queue_0 done=121 window_fps=18.54
1785125655155698775 cluster=intermediate_queue_0 done=122 window_fps=17.69
1785125657706561080 cluster=intermediate_queue_0 done=123 window_fps=17.92
1785125659792676104 cluster=intermediate_queue_0 done=124 window_fps=16.72
1785125660934311226 cluster=intermediate_queue_0 done=125 window_fps=17.16
1785125661843179911 cluster=intermediate_queue_0 done=126 window_fps=17.87
1785125663464257149 cluster=intermediate_queue_0 done=127 window_fps=18.63
1785125663867824644 cluster=intermediate_queue_0 done=128 window_fps=18.62
1785125665388339139 cluster=intermediate_queue_0 done=129 window_fps=18.61
1785125669650124644 cluster=intermediate_queue_0 done=130 window_fps=17.90
1785125669982344105 cluster=intermediate_queue_0 done=131 window_fps=18.32
1785125670057227484 cluster=intermediate_queue_1 done=31 window_fps=4.58
1785125672596569713 cluster=intermediate_queue_0 done=132 window_fps=17.66
1785125673029136043 cluster=intermediate_queue_1 done=32 window_fps=4.54
1785125674123248004 cluster=intermediate_queue_0 done=133 window_fps=16.96
1785125675561382471 cluster=intermediate_queue_1 done=33 window_fps=4.54
1785125676689432811 cluster=intermediate_queue_0 done=134 window_fps=16.68
1785125677385202479 cluster=intermediate_queue_0 done=135 window_fps=17.49
1785125678737049468 cluster=intermediate_queue_0 done=136 window_fps=19.13
1785125678912193321 cluster=intermediate_queue_0 done=137 window_fps=20.21
1785125680755623352 cluster=intermediate_queue_0 done=138 window_fps=20.83
1785125683976732340 cluster=intermediate_queue_0 done=139 window_fps=19.85
1785125684863221771 cluster=intermediate_queue_0 done=140 window_fps=20.06
1785125686383441454 cluster=intermediate_queue_0 done=141 window_fps=19.56
1785125689395682662 cluster=intermediate_queue_0 done=142 window_fps=18.51
1785125690678511037 cluster=intermediate_queue_1 done=34 window_fps=4.55
1785125691447807146 cluster=intermediate_queue_0 done=143 window_fps=17.40
1785125692337700554 cluster=intermediate_queue_0 done=144 window_fps=17.81
1785125694872557411 cluster=intermediate_queue_0 done=145 window_fps=19.03
1785125694908145942 cluster=intermediate_queue_1 done=35 window_fps=4.51
1785125695020999145 cluster=intermediate_queue_0 done=146 window_fps=19.17
1785125696907117201 cluster=intermediate_queue_0 done=147 window_fps=19.74
1785125697450283548 cluster=intermediate_queue_1 done=36 window_fps=4.54
1785125700137299670 cluster=intermediate_queue_0 done=148 window_fps=18.45
1785125700461822034 cluster=intermediate_queue_0 done=149 window_fps=20.19
1785125701970332282 cluster=intermediate_queue_0 done=150 window_fps=19.52
1785125704006091471 cluster=intermediate_queue_0 done=151 window_fps=19.00
1785125704720312809 cluster=intermediate_queue_0 done=152 window_fps=18.60
1785125707522407943 cluster=intermediate_queue_0 done=153 window_fps=17.93
1785125709805316641 cluster=intermediate_queue_0 done=154 window_fps=18.58
1785125710053756326 cluster=intermediate_queue_0 done=155 window_fps=19.05
1785125711694607598 cluster=intermediate_queue_1 done=37 window_fps=4.62
1785125711829996473 cluster=intermediate_queue_0 done=156 window_fps=18.86
