1785128131664748237 cluster=intermediate_queue_0 done=152 window_fps=17.75
1785128131700671085 cluster=intermediate_queue_1 done=56 window_fps=9.16
1785128132888287656 cluster=intermediate_queue_0 done=153 window_fps=18.38
1785128135101141184 cluster=intermediate_queue_1 done=57 window_fps=9.17
1785128135385306966 cluster=intermediate_queue_0 done=154 window_fps=17.62
1785128136534692498 cluster=intermediate_queue_0 done=155 window_fps=18.34
1785128138495777275 cluster=intermediate_queue_0 done=156 window_fps=17.95
1785128138924726612 cluster=intermediate_queue_1 done=58 window_fps=9.17
1785128140104765218 cluster=intermediate_queue_0 done=157 window_fps=18.12
1785128142149855328 cluster=intermediate_queue_0 done=158 window_fps=18.05
1785128142482711728 cluster=intermediate_queue_1 done=59 window_fps=9.23
1785128143550055761 cluster=intermediate_queue_0 done=159 window_fps=18.45
1785128146046689442 cluster=intermediate_queue_0 done=160 window_fps=17.63
1785128146227252825 cluster=intermediate_queue_1 done=60 window_fps=9.17
1785128146457291520 cluster=intermediate_queue_0 done=161 window_fps=19.07
1785128149345289096 cluster=intermediate_queue_1 done=61 window_fps=9.23
1785128149797831769 cluster=intermediate_queue_0 done=162 window_fps=17.33
1785128150386884622 cluster=intermediate_queue_0 done=163 window_fps=18.66
1785128152997930691 cluster=intermediate_queue_1 done=62 window_fps=9.13
1785128153735444959 cluster=intermediate_queue_0 done=164 window_fps=17.21
1785128153804981014 cluster=intermediate_queue_0 done=165 window_fps=18.85
1785128156473241009 cluster=intermediate_queue_1 done=63 window_fps=9.09
1785128157325720534 cluster=intermediate_queue_0 done=166 window_fps=17.25
1785128157410859967 cluster=intermediate_queue_0 done=167 window_fps=18.64
1785128159657509819 cluster=intermediate_queue_1 done=64 window_fps=9.15
1785128160813815882 cluster=intermediate_queue_0 done=168 window_fps=17.19
1785128161341855262 cluster=intermediate_queue_0 done=169 window_fps=18.49
1785128163278391787 cluster=intermediate_queue_1 done=65 window_fps=9.16
1785128164399936565 cluster=intermediate_queue_0 done=170 window_fps=17.23
1785128164809850970 cluster=intermediate_queue_0 done=171 window_fps=18.24
1785128166498803412 cluster=intermediate_queue_1 done=66 window_fps=9.24
1785128168154530482 cluster=intermediate_queue_0 done=172 window_fps=17.11
1785128168232203515 cluster=intermediate_queue_0 done=173 window_fps=18.40
1785128169741069938 cluster=intermediate_queue_1 done=67 window_fps=9.23
1785128171820827387 cluster=intermediate_queue_0 done=174 window_fps=16.98
1785128171856873612 cluster=intermediate_queue_0 done=175 window_fps=18.60
1785128173527592528 cluster=intermediate_queue_1 done=68 window_fps=9.19
1785128175062332382 cluster=intermediate_queue_0 done=176 window_fps=16.78
1785128175419159962 cluster=intermediate_queue_0 done=177 window_fps=18.73
1785128177192643836 cluster=intermediate_queue_1 done=69 window_fps=9.20
1785128178818079729 cluster=intermediate_queue_0 done=178 window_fps=16.88
1785128178836431265 cluster=intermediate_queue_0 done=179 window_fps=19.12
1785128180365212865 cluster=intermediate_queue_1 done=70 window_fps=9.24
1785128182123428056 cluster=intermediate_queue_0 done=180 window_fps=16.95
1785128182192434367 cluster=intermediate_queue_0 done=181 window_fps=19.30
1785128183795111283 cluster=intermediate_queue_1 done=71 window_fps=9.21
1785128185640349332 cluster=intermediate_queue_0 done=182 window_fps=17.00
1785128185733361444 cluster=intermediate_queue_0 done=183 window_fps=19.26
1785128187558078733 cluster=intermediate_queue_1 done=72 window_fps=9.15
1785128189170747458 cluster=intermediate_queue_0 done=184 window_fps=17.25
1785128189550082100 cluster=intermediate_queue_0 done=185 window_fps=19.09
1785128190913840840 cluster=intermediate_queue_1 done=73 window_fps=9.23
1785128192694361748 cluster=intermediate_queue_0 done=186 window_fps=17.21
1785128193382756292 cluster=intermediate_queue_0 done=187 window_fps=19.03
1785128194328337569 cluster=intermediate_queue_1 done=74 window_fps=9.26
1785128196286327021 cluster=intermediate_queue_0 done=188 window_fps=17.11
1785128196814657599 cluster=intermediate_queue_0 done=189 window_fps=19.20
1785128197576250663 cluster=intermediate_queue_1 done=75 window_fps=9.35
1785128199221680130 cluster=intermediate_queue_0 done=190 window_fps=17.54
1785128200929057866 cluster=intermediate_queue_1 done=76 window_fps=9.31
1785128201189169844 cluster=intermediate_queue_0 done=191 window_fps=18.37
1785128202571255848 cluster=intermediate_queue_0 done=192 window_fps=17.68
1785128204500067521 cluster=intermediate_queue_1 done=77 window_fps=9.32
1785128204911033398 cluster=intermediate_queue_0 done=193 window_fps=18.40
1785128205864230795 cluster=intermediate_queue_0 done=194 window_fps=17.76
1785128208174243717 cluster=intermediate_queue_1 done=78 window_fps=9.28
